estado,S,I,C,E
Aguascalientes,19.5,18.2,18.5,14.2
Baja California,21.2,19.4,22.8,10.5
Baja California Sur,22.1,21.8,21.4,8.1
Campeche,15.4,21.8,14.2,16.4
Coahuila,20.8,19.2,20.1,11.2
Colima,18.9,18.1,19.5,15.8
Chiapas,6.2,21.1,8.4,23.5
Chihuahua,19.8,19.5,19.2,9.4
Ciudad de México,23.5,2.1,24.8,11.4
Durango,16.2,16.8,15.1,14.9
Guanajuato,17.1,15.4,18.2,8.6
Guerrero,6.8,17.2,9.1,20.1
Hidalgo,13.5,18.3,14.2,16.8
Jalisco,19.4,17.4,20.2,12.6
México,17.2,21.7,19.1,13.2
Michoacán,11.5,23.8,12.4,18.5
Morelos,16.9,20.0,17.5,15.1
Nayarit,15.8,17.5,16.2,17.4
Nuevo León,21.8,21.3,24.1,4.2
Oaxaca,6.5,17.8,9.4,22.8
Puebla,12.1,18.5,14.8,15.3
Querétaro,20.4,20.2,21.5,11.8
Quintana Roo,18.2,22.4,19.8,19.1
San Luis Potosí,14.2,16.4,15.3,13.5
Sinaloa,18.5,20.1,19.1,11.9
Sonora,20.1,21.4,21.2,6.8
Tabasco,13.4,22.1,13.8,21.2
Tamaulipas,18.9,20.3,19.5,12.4
Tlaxcala,15.2,20.8,15.4,15.1
Veracruz,11.2,20.5,12.8,19.4
Yucatán,14.8,21.8,15.2,18.6
Zacatecas,13.9,15.2,14.1,13.8
